Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Sweden,Included / International,Price / International,Compare At Price / International,Status
9692-3,Grindhandtag svart-röd,"<ul>
<li><span data-mce-fragment=""1"">Galvaniserad krok och öljett.</span></li>
<li><span data-mce-fragment=""1"">Material: UV-stabiliserad plast.</span></li>
<li><span data-mce-fragment=""1"">Med spänningsbegränsare.</span></li>
</ul>",Kerbl,Djur och tillbehör till husdjur,Handtag och grindar,"",true,Title,Default Title,,,,,9692-3,0.0,,0,continue,manual,25.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/GRindhandtagsvartrod.jpg?v=1687917076,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8010-4,"Spaggiari passande Almatic HC , get - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,185.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9692-5,Handtag bandanslutning,"Med Litzclip® tejpkoppling i rostfritt stål<br data-mce-fragment=""1"">Galvaniserad krok och öljett<br data-mce-fragment=""1"">Material: plast, UV-stabiliserad<br data-mce-fragment=""1"">Med spänningsbegränsare",Kerbl,Djur och tillbehör till husdjur,Handtag och grindar,"",true,Storlek,20mm,,,,,9692-5,0.0,,0,continue,manual,38.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Grindhandtaglipszlixks.jpg?v=1687990937,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9692-5,,,,,,,,,40mm,,,,,9692-6,0.0,,0,continue,manual,38.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/grindhandtagbandLIxpsicks.jpg?v=1687990944,2,,,,,,,,,,,,,,,,,kg,,,,,,,
9648-5,"Ringisolator XDI böjd, 18mm-10p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9648-8,"Distansisolator rak 22cm, 10-p","<p data-mce-fragment=""1"">Tillbehör stängsel</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Förstärkt högspänning</li>
<li data-mce-fragment=""1"">Tillverkad av tålig plast</li>
<li data-mce-fragment=""1"">Ovala droppnosar</li>
<li data-mce-fragment=""1"">UV-beständig</li>
<li data-mce-fragment=""1"">Galvaniserat stöd 6,0 mm</li>
</ul>",N/A,Djur och tillbehör till husdjur,Isolator,"",true,Title,Default Title,,,,,9648-8,0.0,,0,continue,manual,89.50,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Distanshallare22cm.jpg?v=1687558397,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9696-6,2-vägs grindankare 5st,"<span data-mce-fragment=""1"">Förnyad Gallagher design. Används i kombination med ett grindhandtag. Starkare än alla andra grindankare tack vare ny teknik. Tillverkad av högkvalitativt material. Inkluderar anslutningsmöjlighet för 2.5 mm jordningskabel (matarledning)</span>",Gallagher,Djur och tillbehör till husdjur,Handtag och grindar,"",true,Title,Default Title,,,,,9696-6,0.0,,0,continue,manual,84.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/2-vagsankare.jpg?v=1686678740,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9696-7,Grindankare 2-vägs 4-p,"<p data-mce-fragment=""1"">För att ansluta ett grindhandtag med galvaniserad kopplingsplatta.</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Grindhandtag kan säkras på båda sidor</li>
<li data-mce-fragment=""1"">Kan monteras säkert på trästolpar</li>
<li data-mce-fragment=""1"">Inklusive galvaniserad anslutningsplatta</li>
</ul>",Gallagher,Djur och tillbehör till husdjur,Handtag och grindar,"",true,Title,Default Title,,,,,9696-7,0.0,,0,continue,manual,105.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Grindankaregalvad.jpg?v=1687898106,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8353-7,Skumstation Nommo för 2 kemikalier - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,3.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9696-1,Grindankare 10st,"<p data-mce-fragment=""1""> </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Grindankare med öglor</li>
<li data-mce-fragment=""1"">Lämplig för grindhandtag med krokar</li>
<li data-mce-fragment=""1"">Fästöglan kan roteras 360 °</li>
<li data-mce-fragment=""1"">Galvaniserat 6,0 mm stöd</li>
<li data-mce-fragment=""1"">Trätråd</li>
<li data-mce-fragment=""1"">UV-förstärkt</li>
</ul>",N/A,Djur och tillbehör till husdjur,Stängselgrindar,"",true,Title,Default Title,,,,,9696-1,0.0,,0,continue,manual,90.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Grindankare.jpg?v=1687897714,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1312-7,Milkrite  TLC A6 utan ventil - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,TLC A6,"",true,Title,Default Title,,,,,,0.0,,0,continue,manual,355.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8441,Stallströspridare Vink - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,2.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8010-6,"Spaggiari 0000/673SL, 2-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,250.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8495-1,Svansklippare Tail well - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,3.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8353-4,P-3 Clint KF 200 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8915,Asepto Peps pulverdiskmedel 10kg,"<div data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Starkt alkaliskt pulver utan klor och kväve</li>
<li data-mce-fragment=""1"">Högkoncentrerat växeldiskmedel med god effekt mot fett och protein</li>
<li data-mce-fragment=""1"">lämpad för alla typer av mjölkningsutrustning och kyltankar</li>
<li data-mce-fragment=""1"">Tar bort alla former av mjölkavlagringar</li>
</ul>
<p>Obs! Läs alltid etiketten och produktinformationen före användning. För mer info se bifogade dokument:<br><a href=""https://cdn.shopify.com/s/files/1/0640/9270/0937/files/aseptopeps_produktdatablad.pdf?v=1686962806"" target=""_blank"" title=""Aseptopeps Produktdatablad"" rel=""noopener noreferrer""></a></p>
<p><a href=""https://cdn.shopify.com/s/files/1/0640/9270/0937/files/aseptopeps_produktdatablad.pdf?v=1686962806"" target=""_blank"" title=""Aseptopeps Produktdatablad"" rel=""noopener noreferrer"">Produktdatablad</a></p>
<p><a href=""https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Aseptopeps_sakerhetsdatablad.pdf?v=1686962826"" title=""Aseptopeps Säkerhetsdatablad"">Säkerhetsdatablad</a></p>
</div>
<p> </p>",Ecolab,Djur och tillbehör till husdjur,Diskmedel,"",true,Title,Default Title,,,,,8915,0.0,,0,continue,manual,1295.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Aseptopeps.jpg?v=1686963341,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8921-3,Adapter Hävertpump - 200l plastfat - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8495-3,Kniv till Tail well - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8000-1,Mjölkorgan får Interpuls - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8355-1,Allround såpa 22kg,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Innehåller korrosionsskydd</li>
<li data-mce-fragment=""1"">Till gris – och fjäderfäbesättningar</li>
<li data-mce-fragment=""1"">Tvätt med såpa ger bättre desinfektion</li>
<li data-mce-fragment=""1"">Allround Såpa doseras med 1-3%</li>
<li data-mce-fragment=""1"">Låt det verka i 10 – 30 minuter och skölj av med rent vatten</li>
<li data-mce-fragment=""1"">Allround Såpa löser upp hinnor av fett och proteiner<br><br>
</li>
</ul>
<p>Se bifogade dokument:<br><br><a href=""https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Sakerhetsdatablad_Sapa.pdf?v=1686692351"" target=""_blank"" title=""Säkerhetsdatablad allround såpa"" rel=""noopener noreferrer"">Säkerhetsdatablad</a></p>",Cid Lines,Djur och tillbehör till husdjur,Rengöringsmedel,"",true,Title,Default Title,,,,,8355-1,0.0,,0,continue,manual,810.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Allroundsapa.jpg?v=1686692321,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8923-1,Truck Cleaner Super 5 l - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,595.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8923-2,Truck Cleaner Super 20 l - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,845.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9681-3,Odlingslåda länk - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,145.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9681-8,Snigelband 20m - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,450.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8921-1,Diskmedelspump 100/200L fat,"<span data-mce-fragment=""1"">Bra diskmedelspump anpassad för 100/200L fat. </span>",N/A,Djur och tillbehör till husdjur,TIllbehör till diskmedel,"",true,Title,Default Title,,,,,8921-1,0.0,,0,continue,manual,465.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Diskmedelspump_b25817dc-269b-4d10-a6bc-bed6b30d2045.jpg?v=1687558060,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8921-2,Hävertpump till diskmedel - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,385.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
6001-3,Rund gummi Minimilker 1 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,135.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8353-3,Topaz CL1 22 kg - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,865.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8353-8,Skumkit - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,3.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8920-1,Asepto Booster,"<p data-mce-fragment=""1"">Kraftfullt rengöringsmedel mot beläggningar/biofilm                                                  </p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1"">När diskprocessen fungerar bristfälligt eller det förekommit någon driftstörning bildas beläggningar i mjölkanläggning/gårdstank.<br data-mce-fragment=""1"">Börja alltid med att felsöka i diskprocessen för att lokalisera och åtgärda orsaken till beläggningar/biofilm innan du gör en disk med Asepto Booster.<br data-mce-fragment=""1"">Var uppmärksam på att den höga koncentrationen av klorhaltigt rengöringsmedel påverkar gummi och plast detaljer, det är inte lämpligt att rutinmässigt diska med Asepto Booster.<br data-mce-fragment=""1"">Vid problem med beläggningar från kalk eller mjölksten, komplettera med en syradisk (som löser upp mineraler)  </p>
<p data-mce-fragment=""1"">Enkel vägledning till Booster disk</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Koppla ur ordinarie dosering av diskmedel</li>
<li data-mce-fragment=""1"">Beräkna förbrukning av 2 lit Asepto Booster per 25-30 liter vatten i huvuddisk</li>
<li data-mce-fragment=""1"">När huvuddisken inleds, fyll på Asepto Booster samtidigt med fyllning av hetvatten</li>
<li data-mce-fragment=""1"">Koppla in ordinarie dosering av diskmedel</li>
<li data-mce-fragment=""1"">Det kommer att bildas skum under huvuddisken, kontrollera att allt skum är borta<br data-mce-fragment=""1"">     när eftersköljningen är klar</li>
<li data-mce-fragment=""1"">Det kan behövas manuell urspolning eller när det finns hetvatten är en syra disk att föredra</li>
</ul>
<p>För mer info se bifogade dokument:</p>
<p><a href=""https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Asepto_Booster_pb.pdf?v=1686701617"" target=""_blank"" title=""AseptoBooster Produktdatablad"" rel=""noopener noreferrer"">Produktdatablad</a><br><a href=""https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Asepto_Booster_SD.pdf?v=1686701621"" target=""_blank"" title=""AseptoBooster Säkerhetsdatablad"" rel=""noopener noreferrer"">Säkerhetsdatablad</a></p>",Ecolab,Djur och tillbehör till husdjur,Rengöringsmedel,"",true,Storlek,6kg,,,,,8920-1,0.0,,0,continue,manual,445.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Aseptobooster.jpg?v=1686701585,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8920-1,,,,,,,,,12kg,,,,,8920-2,0.0,,0,continue,manual,890.00,,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
8429-1,Kickstart desinfektion 10l - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8495-2,Svansklippare Tail well Titan - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,4.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8353-1,Topaz MD4 22kg - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,785.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8495-4,Titankniv till Tail well - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,2.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8353-5,Incimaxx Des-N 20 kg - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5610-4,Skarvkontakt Gardena 1/2 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,48.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9731-4,"Oval Glasfiberstolpe blå 1,1m, 10-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,295.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8100,Virkon desinfektion - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,335.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
6000-6,Stativ med hjul till mjölkmaskin - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,3.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8591-10,Motorsåghandskar stl 10 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,275.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5608-1,Slangklämma plast 32mm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,45.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1114-2,Servicesats pass Harmony Plus utan ventil - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,485.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7402-4,Ryktborste Happy Cow free Midi - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,4.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9723-2,"Krampor 3,0x 35mm, 5kg - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,365.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3002,Rycksäkring Milkmaster/Harmony - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,270.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7401-4,Ryktborste XL - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,645.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7402-1,Stolpborste Happy Cow Maxi - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,8.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9005-4,"Mjölkspann plast 30 l, grön, 148mm - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3717-1,Gummi spentvätt pass. Delaval VMS - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,95.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
6001-2,Gummi ram Minimilker 1 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9005-2,"Mjölkspann plast 30 l, blå, 148mm - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7401-9,Ryktmatta 60 x 40 cm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,365.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8592-10,Handske Keron Aqua,"<ul>
<li>Finstickad nylonhandske (15 gauge)</li>
<li>Dubbeldoppade, vilket gör dem mer nötningsbeständiga än vanliga latexhandskar.</li>
<li>Vattentät.</li>
<li>Dubbeldoppad i latexskum, därför stoltserar med ett särskilt bra grepp samtidigt som det är bekvämt att bära, låg handtrötthet.</li>
<li>Användningsområden: trädgårdsarbete och landskapsarkitektur, frysindustri, utomhusarbete.</li>
</ul>",Keron,Djur och tillbehör till husdjur,Arbetshandskar,"",true,Storlek,7/ Small,,,,,8592-7,0.0,,0,continue,manual,49.50,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Keronaqua.jpg?v=1687984674,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8592-10,,,,,,,,,8/ Medium,,,,,8592-8,0.0,,0,continue,manual,49.50,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Keroninaction.jpg?v=1687984680,2,,,,,,,,,,,,,,,,,kg,,,,,,,
8592-10,,,,,,,,,9/ Large,,,,,8592-9,0.0,,0,continue,manual,49.50,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/Keroninaction2.jpg?v=1687984687,3,,,,,,,,,,,,,,,,,kg,,,,,,,
8592-10,,,,,,,,,10/ XL,,,,,8592-10,0.0,,0,continue,manual,49.50,,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
8592-10,,,,,,,,,11/ XXL,,,,,8592-11,0.0,,0,continue,manual,49.50,,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
9543-3,LED utebelysning 30W - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,275.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7401-3,Ryktborste halvrund - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,495.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9544-1,LED utebelysning 10W med rörelsesensor - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,245.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9543-1,LED strålkastare 10 W - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,105.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9544-2,LED strålkastare 20W med rörelsesensor - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,295.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7401-7,Ryktborste Condon - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,8.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9543-4,LED utebelysning 50W - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,395.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8817-2,Stödhjul skottkärra - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,495.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7401-6,Reservborste Happy Cow Bully - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,365.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9512,LED belysning FarmPro 60W - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9544-4,LED strålkastare 50W med rörelsesensor - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,535.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
6001-4,Klaffar Minimilker 1 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,385.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8593-10,Arbetshandskar Aktiv Ajax,"<br data-mce-fragment=""1"">Säkert, balanserat, nötningsfritt, komplett allroundskydd – den bästa handsken i serien.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">
<ul>
<li>tPR-skydd på baksidan för att absorbera stötar och för att skydda vävnader från att gå sönder.</li>
<li>Räfflade och förstärkta områden på handflatan för längre livslängd, speciellt när du arbetar med rep.</li>
<li>Vibrationsdämpare på basen av tummen för att absorbera stötar.</li>
<li>Handflatorna gjorda av 1 mm tjock, mjuk, tvättbar mikrofiber.</li>
<li>Kardborrefäste för att förhindra att skräp tränger in och för perfekt passform.</li>
</ul>",Keron,Djur och tillbehör till husdjur,Arbetshandskar,"",true,Storlek,Strl 8 / M,,,,,8593-8,0.0,,0,continue,manual,125.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/tummeupp.jpg?v=1686693786,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8593-10,,,,,,,,,Strl 9 / L,,,,,8593-9,0.0,,0,continue,manual,125.00,,true,false,"",https://cdn.shopify.com/s/files/1/0640/9270/0937/files/AJAX.jpg?v=1686693789,2,,,,,,,,,,,,,,,,,kg,,,,,,,
8593-10,,,,,,,,,Strl 10 / XL,,,,,8593-10,0.0,,0,continue,manual,125.00,,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
8593-10,,,,,,,,,Strl 11 / XXL,,,,,8593-11,0.0,,0,continue,manual,125.00,,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
7402-3,Ryktborste Happy Cow free Maxi - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,7.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
